id,name,popularity,overview,image_path,category,category_name
446893,Trolls World Tour,323.707,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.",https://image.tmdb.org/t/p/w500/7W0G3YECgDAfnuiHG91r8WqgIOe.jpg,16;10751;35;14;12;10402,Animation;Family;Comedy;Fantasy;Adventure;Music
556984,The Trial of the Chicago 7,117.311,"What was intended to be a peaceful protest at the 1968 Democratic National Convention turned into a violent clash with police and the National Guard. The organizers of the protest — including Abbie Hoffman, Jerry Rubin, Tom Hayden and Bobby Seale — were charged with conspiracy to incite a riot and the trial that followed was one of the most notorious in history.",https://image.tmdb.org/t/p/w500/ahf5cVdooMAlDRiJOZQNuLqa1Is.jpg,18;36;53,Drama;History;Thriller
496243,Parasite,94.712,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,35;53;18,Comedy;Thriller;Drama
399363,Wendy,72.544,"A re-imagining of ""Peter Pan"" from the point of view of Wendy Darling, who finds herself lost on a mysterious island where aging and time have come unglued. She must fight to save her family, her freedom and the joyous spirit of youth.",https://image.tmdb.org/t/p/w500/nphsStbtAuJ2IaXtCvDXDwMUF5N.jpg,12;14;10751,Adventure;Fantasy;Family
571384,Come Play,55.942,"A lonely young boy feels different from everyone else. Desperate for a friend, he seeks solace and refuge in his ever-present cell phone and tablet. When a mysterious creature uses the boy’s devices against him to break into our world, his parents must fight to save their son from the monster beyond the screen.",https://image.tmdb.org/t/p/w500/e98dJUitAoKLwmzjQ0Yxp1VQrnU.jpg,27,Horror
585077,Children of the Sea,41.517,"Ruka is a young girl whose parents are separated and whose father works in an aquarium. When two boys, Umi and Sora, who were raised in the sea by dugongs, are brought to the aquarium, Ruka feels drawn to them and begins to realize that she has the same sort of supernatural connection to the ocean that they do. Umi and Sora's special power seems to be connected to strange events that have been occurring more and more frequently, such as the appearance of sea creatures far from their home territory and the disappearance of aquarium animals around the world. However, the exact nature of the boys' power and of the abnormal events is unknown, and Ruka gets drawn into investigating the mystery that surrounds her new friends.",https://image.tmdb.org/t/p/w500/2QKNREj8xPHShu993QAySoGDCwu.jpg,16;14;12;9648,Animation;Fantasy;Adventure;Mystery
553604,Honest Thief,36.257,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",https://image.tmdb.org/t/p/w500/zeD4PabP6099gpE0STWJrJrCBCs.jpg,28;53;80;18,Action;Thriller;Crime;Drama
11423,Memories of Murder,26.279,"1986 Gyunggi Province. The body of a young woman is found brutally raped and murdered. Two months later, a series of rapes and murders commences under similar circumstances. And in a country that had never known such crimes, the dark whispers about a serial murderer grow louder. A special task force is set up in the area, with two local detectives Park Doo-Man and Jo Young-Goo joined by a detective from Seoul who requested to be assigned to the case.",https://image.tmdb.org/t/p/w500/dVZJByLhVpbKp4YKAChM12MxSNn.jpg,80;18;53,Crime;Drama;Thriller
606625,Follow Me,21.512,"A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience, they enter a cold world of mystery, excess, and danger. When the lines between real life and social media are blurred, the group must fight to escape, and survive.",https://image.tmdb.org/t/p/w500/glwOyoD0Pzxzyb3l7nELEgjSjQ8.jpg,27;12;53,Horror;Adventure;Thriller
504582,The Whistlers,14.675,"A Romanian police officer, determined to free from prison a crooked businessman who knows where a mobster's money is hidden, must learn the difficult ancestral whistling language (Silbo Gomero) used on the island of Gomera.",https://image.tmdb.org/t/p/w500/i9UIjhnD5QNyhXrA0nZMhRpod5b.jpg,80;53,Crime;Thriller
477428,The Painted Bird,9.811,A young boy wanders Eastern Europe during World War II.,https://image.tmdb.org/t/p/w500/wfuh6vTYLGspvkYoBy8GCaJx9Ur.jpg,18;10752,Drama;War
514684,Why Don't You Just Die!,8.984,"Andrey, a detective and the world's most horrible father, brings together a terrible group of people in his apartment: his resentful actress daughter, an angry thug, and a cheated cop. Each one of them has a reason to want revenge..",https://image.tmdb.org/t/p/w500/warC8GJApWssmU9vXXZDY7OrU9o.jpg,28;35;80;53,Action;Comedy;Crime;Thriller
575776,Saint Maud,7.094,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye.",https://image.tmdb.org/t/p/w500/uQjxpEYktu36ZiWKfn0t0FySmXl.jpg,18;27;9648,Drama;Horror;Mystery
615761,Undine,6.616,"Undine works as a historian lecturing on Berlin's urban development. When the man she loves leaves her, the ancient myth catches up with her. But falling in love anew, Undine reworks the myth of the mysterious water spirit as a modern fairy-tale in a disenchanted world.",https://image.tmdb.org/t/p/w500/joGHKGWsNY3Snw7w3z7vdqsc7xK.jpg,18;14;10749,Drama;Fantasy;Romance
702525,Bigfoot Family,6.089,"Bigfoot, Adam's father, wants to use his fame for a good cause. Protecting a large wildlife reserve in Alaska sounds like the perfect opportunity! When Bigfoot mysteriously disappears without a trace, Adam and his animal friends will brave anything to find him again and save the nature reserve.",https://image.tmdb.org/t/p/w500/vn7sNO6CD8FBHBEVcOiNv08mjy1.jpg,16;12,Animation;Adventure
348672,About Endlessness,5.255,"Inspired by “One Thousand and One Nights,” the celebrated collection of Middle Eastern and Indian folk tales, “About Endlessness,” in its juxtaposition of tableaux capturing moments in life, explores the preciousness and beauty of our existence, awakening in us the wish to maintain this eternal treasure and pass it on.",https://image.tmdb.org/t/p/w500/fRIBlFJiMNm7DkphQgcHgDS2Pvx.jpg,18;35,Drama;Comedy
643537,Nelly Rapp Monster Agent,4.18,"Nelly Rapp is an ordinary girl who is going to spend the autumn school holidays with her uncle Hannibal. Well, maybe not that ordinary – she’s going to be a monster agent. You know, an agent that fights monsters and ghosts. That’s right, they do exist. They’re right here amongst us, but you only see them if you believe in them and scratch the surface…",https://image.tmdb.org/t/p/w500/xBfhyWKVgivFCjMueqopdq27bl0.jpg,,
608232,Tove,2.519,"Helsinki, 1945. The end of the war brings a new sense of artistic and social freedom for painter Tove Jansson. Modern art, dizzying parties and an open relationship with a married politician: Her unconventional life puts her at odds with her sculptor father’s strict ideals. Tove’s desire for liberty is put to the test when she meets theatre director Vivica Bandler. As she struggles with her personal life, her creative endeavours take her in an unexpected direction. While focusing her artistic dreams on her painting, the work that started as a side project, the melancholic, haunting tales she told scared children in bomb shelters, rapidly takes on a life of its own. The exploits of the Moomins, infused with inspiration from her own life, bring Tove international fame and financial freedom. But as she begins to find her artistic identity she has to learn to find herself.",https://image.tmdb.org/t/p/w500/adStgMg4WizU2Fe3Tcc8TA7iUv7.jpg,18,Drama
752088,Complexes,1.451,"The short documentary ‘Complexos‘ features intimate and emotional views on how residents of favelas in Rio de Janeiro use media and arts to raise their voices and act for justice, dignity and respect. ‘Complexos’ is part of a collaborative process between the Finland-based Anti-Racism Media activism Alliance (ARMA Alliance) and the favela-based audiovisual collective Cafuné na Laje.",,99,Documentary
664379,Ricky Rapper and the Wrong Vincent,1.325,"Rauha Rapper gets a strange prediction: a genius has been born to her immediate family. When Rauha finds a drawing Ricky has made, she is certain that Ricky is Vincent Van Gogh reborn. She decides to show Ricky's drawing to the intendent of the Art Museum. At the same time, a sketch of one of Van Gogh's paintings is found in Finland! This discovery starts an exciting chain of events, and in the end, the janitor of the Art Museum, a keen amateur detective, helps Ricky and Nelly to solve the mystery.",https://image.tmdb.org/t/p/w500/3KPtpop8tDAVGs7Fu1NFi4DHavN.jpg,10751;35;10402,Family;Comedy;Music
